index,label,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_gray,std_gray,sat_mean,tissue_proxy_ratio_sat_gt_0p12,black_ratio_gray_lt_0p05,blue_dominance_ratio_b_gt_r,pink_proxy_ratio,min_pixel,max_pixel
12,1.0,0.7613418102264404,0.5167317986488342,0.8173785209655762,0.2074878215789795,0.21558767557144165,0.14387908577919006,0.6241438388824463,0.19848504662513733,0.3952130079269409,0.9124348958333334,0.0,0.6872829861111112,0.7690972222222222,0.027450980618596077,1.0
45,1.0,0.741724967956543,0.5854490399360657,0.8125379085540771,0.24727734923362732,0.2676510810852051,0.17856116592884064,0.6580636501312256,0.24876722693443298,0.3260425627231598,0.8190104166666666,0.0,0.7296006944444444,0.7483723958333334,0.027450980618596077,1.0
51,1.0,0.7161062955856323,0.555492639541626,0.7981136441230774,0.22524288296699524,0.257535457611084,0.1620745062828064,0.6311748623847961,0.23413877189159393,0.3445836901664734,0.8226996527777778,0.0,0.8491753472222222,0.724609375,0.01568627543747425,1.0
57,1.0,0.7543811202049255,0.5946946740150452,0.8223878145217896,0.22887878119945526,0.26136893033981323,0.16574837267398834,0.6683979630470276,0.23784737288951874,0.3185797333717346,0.8030598958333334,0.0,0.7737630208333334,0.7701822916666666,0.0117647061124444,1.0
102,1.0,0.76755690574646,0.5969328880310059,0.8307636380195618,0.21764037013053894,0.25040772557258606,0.15664421021938324,0.6746061444282532,0.22657349705696106,0.3185894787311554,0.8165147569444444,0.0,0.755859375,0.7950303819444444,0.01568627543747425,1.0
187,1.0,0.7650731205940247,0.556087076663971,0.8250800371170044,0.1990557610988617,0.24429388344287872,0.14102283120155334,0.6492391228675842,0.21116919815540314,0.3554116487503052,0.810546875,0.0003255208333333333,0.7888454861111112,0.7860243055555556,0.007843137718737125,1.0
195,1.0,0.7486872673034668,0.5993051528930664,0.8188534379005432,0.23702372610569,0.27438056468963623,0.17271576821804047,0.6689988970756531,0.2485439032316208,0.3136857748031616,0.7590060763888888,0.0,0.8121744791666666,0.7646484375,0.0117647061124444,1.0
382,1.0,0.7637097835540771,0.5592315793037415,0.8219290971755981,0.2273043841123581,0.25415584444999695,0.16273082792758942,0.6503180861473083,0.23088254034519196,0.3585098087787628,0.8495008680555556,0.0,0.7061631944444444,0.7559678819444444,0.0235294122248888,1.0
437,1.0,0.7595962285995483,0.5399850010871887,0.8182346820831299,0.22435562312602997,0.2349063605070114,0.15658706426620483,0.6373692750930786,0.2174883782863617,0.3742401599884033,0.8876953125,0.0,0.6328125,0.7540147569444444,0.0235294122248888,1.0
505,1.0,0.7389037609100342,0.548414945602417,0.8048087954521179,0.2529270350933075,0.265703022480011,0.1813419759273529,0.6345999836921692,0.24877606332302094,0.3663038909435272,0.8615451388888888,0.0,0.6349826388888888,0.71484375,0.0235294122248888,1.0
