index,label,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_gray,std_gray,sat_mean,tissue_proxy_ratio_sat_gt_0p12,black_ratio_gray_lt_0p05,blue_dominance_ratio_b_gt_r,pink_proxy_ratio,min_pixel,max_pixel
46,0.0,0.6727763414382935,0.5869663953781128,0.7776254415512085,0.2512362599372864,0.27889275550842285,0.1784529834985733,0.6343587040901184,0.2582883834838867,0.2930871546268463,0.7197265625,0.0,0.8046875,0.6370442708333334,0.019607843831181526,1.0
124,1.0,0.631192147731781,0.5373204350471497,0.7464001178741455,0.2595149576663971,0.2810589373111725,0.18682916462421417,0.5892231464385986,0.2632817029953003,0.334026575088501,0.7872178819444444,0.0,0.8293185763888888,0.5736762152777778,0.0235294122248888,1.0
128,0.0,0.5532326698303223,0.46443694829940796,0.6896918416023254,0.2655719518661499,0.28294995427131653,0.193424254655838,0.5166659355163574,0.26698988676071167,0.38785502314567566,0.8296440972222222,0.0,0.85546875,0.4265407986111111,0.04313725605607033,1.0
455,1.0,0.7974873185157776,0.6878931522369385,0.8586086630821228,0.21470437943935394,0.24681031703948975,0.15389448404312134,0.740123450756073,0.2251821607351303,0.23367346823215485,0.6648220486111112,0.001193576388888889,0.6629774305555556,0.8504774305555556,0.0,1.0
499,1.0,0.7106302976608276,0.530686616897583,0.7887153029441833,0.2412658929824829,0.283304363489151,0.17393594980239868,0.6139050722122192,0.25411456823349,0.37496405839920044,0.7886284722222222,0.00043402777777777775,0.7670355902777778,0.6545138888888888,0.0,1.0
537,0.0,0.6189759373664856,0.5362331867218018,0.7374310493469238,0.2744140625,0.2973438799381256,0.19608986377716064,0.5839098691940308,0.27830174565315247,0.3323739171028137,0.7366536458333334,0.0,0.7815755208333334,0.5198567708333334,0.0313725508749485,1.0
538,1.0,0.7345741987228394,0.49928390979766846,0.8008382320404053,0.21500636637210846,0.20601768791675568,0.15001395344734192,0.6040128469467163,0.197953999042511,0.4061882793903351,0.9282769097222222,0.0013020833333333333,0.6866319444444444,0.7578125,0.0,1.0
722,1.0,0.727357804775238,0.5227448344230652,0.800182580947876,0.21499893069267273,0.24264155328273773,0.15163612365722656,0.6155519485473633,0.2195722907781601,0.3816153407096863,0.8653428819444444,0.00010850694444444444,0.7471788194444444,0.7065972222222222,0.0,1.0
726,1.0,0.7173006534576416,0.5676959753036499,0.799769401550293,0.23098619282245636,0.25718098878860474,0.1668456345796585,0.6388842463493347,0.23681123554706573,0.33252429962158203,0.8233506944444444,0.0003255208333333333,0.7828776041666666,0.7505425347222222,0.0,1.0
789,1.0,0.8454205989837646,0.7794356346130371,0.8935176134109497,0.19554556906223297,0.25548720359802246,0.14601776003837585,0.8121704459190369,0.22306343913078308,0.16160857677459717,0.2841796875,0.0,0.8648003472222222,0.8697916666666666,0.019607843831181526,1.0
938,0.0,0.7141271829605103,0.639845073223114,0.8023548126220703,0.27538713812828064,0.3175870180130005,0.19775591790676117,0.6805815100669861,0.2904888689517975,0.26249954104423523,0.5912543402777778,0.0,0.8121744791666666,0.6703559027777778,0.01568627543747425,1.0
1004,0.0,0.9663884043693542,0.8300670981407166,0.9608316421508789,0.10012226551771164,0.176984965801239,0.09410512447357178,0.8857342600822449,0.13551728427410126,0.15345747768878937,0.3949652777777778,0.009548611111111112,0.010416666666666666,0.9869791666666666,0.0,1.0
1088,1.0,0.6475647687911987,0.4631425440311432,0.7468903660774231,0.23623572289943695,0.23334556818008423,0.16913311183452606,0.5506319999694824,0.2240455001592636,0.4205836057662964,0.9153645833333334,0.00010850694444444444,0.826171875,0.6241319444444444,0.0,1.0
1152,1.0,0.6772475838661194,0.5985978841781616,0.7795565128326416,0.2606906294822693,0.2937532663345337,0.1875208616256714,0.6427434682846069,0.27054890990257263,0.2857024073600769,0.6830512152777778,0.0,0.8243272569444444,0.6401909722222222,0.027450980618596077,1.0
1153,0.0,0.613764226436615,0.5251162052154541,0.7319129705429077,0.27783676981925964,0.30069100856781006,0.19997985661029816,0.5751967430114746,0.2818177044391632,0.3455037474632263,0.7463107638888888,0.0,0.7881944444444444,0.517578125,0.0235294122248888,1.0
1245,1.0,0.7655547857284546,0.5208184719085693,0.8209248781204224,0.20551373064517975,0.19913117587566376,0.14049145579338074,0.628206729888916,0.18899385631084442,0.3909231424331665,0.9324001736111112,0.00043402777777777775,0.6305338541666666,0.7847222222222222,0.0,1.0
1291,1.0,0.5837350487709045,0.39189136028289795,0.7018092274665833,0.2176811397075653,0.2245534211397171,0.1575443297624588,0.4845832586288452,0.2114485502243042,0.4795696437358856,0.9207899305555556,0.0,0.8971354166666666,0.4678819444444444,0.007843137718737125,1.0
1403,1.0,0.733916699886322,0.5810150504112244,0.8096452355384827,0.23814380168914795,0.25749829411506653,0.16999414563179016,0.6527965068817139,0.23970869183540344,0.3248812258243561,0.8216145833333334,0.0006510416666666666,0.6902126736111112,0.7485894097222222,0.0,1.0
1406,1.0,0.8507927060127258,0.7576469779014587,0.8941453099250793,0.19770964980125427,0.24701474606990814,0.14442242681980133,0.8010584712028503,0.21816810965538025,0.18438315391540527,0.4526909722222222,0.0006510416666666666,0.6877170138888888,0.8848741319444444,0.0,1.0
1422,0.0,0.6930649280548096,0.5972988605499268,0.7880774736404419,0.2570059299468994,0.29574164748191833,0.18444953858852386,0.6476816534996033,0.2703721821308136,0.29566651582717896,0.6909722222222222,0.0,0.7501085069444444,0.6624348958333334,0.0235294122248888,1.0
1458,0.0,0.6038964986801147,0.502106785774231,0.7234562039375305,0.27194225788116455,0.2921772301197052,0.19680356979370117,0.5577757358551025,0.2743164598941803,0.36761438846588135,0.80078125,0.0,0.8077256944444444,0.5120442708333334,0.0313725508749485,1.0
1513,0.0,0.7117757797241211,0.5972371697425842,0.793589174747467,0.2812806963920593,0.33529672026634216,0.20378448069095612,0.6538683176040649,0.3022475838661194,0.3145991265773773,0.6290147569444444,0.00010850694444444444,0.7694227430555556,0.6446397569444444,0.003921568859368563,1.0
1527,0.0,0.6312738656997681,0.5447367429733276,0.7482941150665283,0.25436681509017944,0.2820681631565094,0.18268480896949768,0.5938169360160828,0.2616986632347107,0.32442447543144226,0.7644314236111112,0.00010850694444444444,0.8369140625,0.5673828125,0.0235294122248888,1.0
1529,0.0,0.6066576838493347,0.45311737060546875,0.7221201062202454,0.24438580870628357,0.24134299159049988,0.17530247569084167,0.5296922326087952,0.2330857664346695,0.4177842140197754,0.9153645833333334,0.00010850694444444444,0.8547092013888888,0.5291883680555556,0.01568627543747425,0.9960784316062927
1533,0.0,0.6557764410972595,0.4650552570819855,0.7509523630142212,0.2420421540737152,0.2364322394132614,0.17218850553035736,0.5546731352806091,0.22811833024024963,0.42255353927612305,0.91796875,0.00010850694444444444,0.7913411458333334,0.6090494791666666,0.003921568859368563,1.0
